case_number,date_time_reported,location_of_occurence,domesticdv_relationship,incident_type,criminal_offense,disposition
202000531,05/04/2020 03:57:00 pm,"809 S PROVIDENCE RD , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,ACTIVE
202000530,05/04/2020 01:06:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,ACTIVE
202000530,05/04/2020 01:06:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,OTHER OFFENSE - REPORTABLE,LEAVING THE SCENE OF ACCIDENT,ACTIVE
202000529,05/03/2020 11:24:00 pm,"699 TIGER AVE/TURNER AVE , COLUMBIA MO, 65201",NO  NOT APPLICABLE,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST
202000528,05/03/2020 09:42:35 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202000527,04/30/2020 08:23:47 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202000526,04/30/2020 02:06:00 pm,"1199 E STADIUM BLVD/S COLLEGE AVE , COLUMBIA MO, 65201",NO,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202000525,04/30/2020 02:04:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202000525,04/30/2020 02:04:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,LARCENY - OTHER,ASSAULT-SIMPLE,CLEARED BY ARREST
202000524,04/30/2020 04:19:00 am,"1 LOT I , COLUMBIA MO, 65201",NO,DRAWN IN ERROR,DRAWN IN ERROR,INACTIVE
202000523,04/29/2020 03:20:00 pm,"204 N KEENE ST , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202000522,04/28/2020 07:01:00 pm,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202000521,04/28/2020 12:51:50 pm,"1500 BOUCHELLE AVE , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202000520,04/15/2020 07:38:00 pm,"1299 HOSPITAL DR/S COLLEGE AVE , COLUMBIA MO, 65201",NO,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202000519,04/27/2020 04:05:00 am,"518 HITT ST , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202000519,04/27/2020 04:05:00 am,"518 HITT ST , COLUMBIA MO, 65201",NO,TRESPASS,PROPERTY DAMAGE,CLEARED BY ARREST
202000518,04/27/2020 02:33:00 am,"1199 VIRGINIA AVE/MONK DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202000518,04/27/2020 02:33:00 am,"1199 VIRGINIA AVE/MONK DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,ASSAULT-SIMPLE,CLEARED BY ARREST
202000518,04/27/2020 02:33:00 am,"1199 VIRGINIA AVE/MONK DR , COLUMBIA MO, 65201",NO,TRESPASS,ASSAULT-SIMPLE,CLEARED BY ARREST
202000517,04/26/2020 06:47:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202000516,04/25/2020 11:51:00 am,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202000515,04/25/2020 07:58:00 am,"601 S PROVIDENCE RD , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE
202000514,04/24/2020 02:30:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,DRUG - NARCOTIC,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202000513,04/24/2020 10:04:00 am,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202000512,04/24/2020 07:08:00 am,"1004 TIGER AVE , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - THEFT OF MOTOR VEHICLE PARTS,ACTIVE
202000512,04/24/2020 07:08:00 am,"1004 TIGER AVE , COLUMBIA MO, 65201",NO,LARCENY - THEFT OF MOTOR VEHICLE PARTS,LARCENY - THEFT OF MOTOR VEHICLE PARTS,ACTIVE
202000511,04/23/2020 02:23:20 pm,"1299 LOCUST ST/S COLLEGE AVE , COLUMBIA MO, 65201",NO,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202000510,04/23/2020 12:57:36 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202000509,04/22/2020 05:31:11 pm,"2900 OLD 63 SOUTH , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202000508,04/22/2020 03:52:00 pm,"396 HINKSON CREEK TRL/GRINDSTONE CREEK TRL , COLUMBIA MO, 65201",NO,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202000507,04/22/2020 03:16:00 pm,"396 HINKSON CREEK TRL/GRINDSTONE CREEK TRL , COLUMBIA MO, 65201",NO,DISORDERLY CONDUCT,DISORDERLY CONDUCT,CLEARED BY ARREST
202000506,04/22/2020 03:21:00 am,"1199 E STADIUM BLVD/S COLLEGE AVE , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000506,04/22/2020 03:21:00 am,"1199 E STADIUM BLVD/S COLLEGE AVE , COLUMBIA MO, 65201",NO,WARRANT ARREST,DRUG - NARCOTIC,CLEARED BY ARREST
202000505,04/21/2020 05:48:40 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202000504,04/21/2020 12:45:00 am,"309 HITT ST , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000504,04/21/2020 12:45:00 am,"309 HITT ST , COLUMBIA MO, 65201",NO,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - NARCOTIC,CLEARED BY ARREST
202000503,04/20/2020 06:48:00 pm,"1004 TIGER AVE , COLUMBIA MO, 65201",NO,OTHER OFFENSE - REPORTABLE,OTHER OFFENSE - REPORTABLE,ACTIVE
202000502,04/20/2020 03:10:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202000501,04/20/2020 11:48:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202000500,04/20/2020 10:38:19 am,"1467 WILDER DRIVE , SPRINGFIELD MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202000499,04/20/2020 09:00:00 am,"900 LOWRY MALL , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE
202000498,04/18/2020 11:37:00 am,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,PROPERTY DAMAGE,PROPERTY DAMAGE,ACTIVE
202000497,04/17/2020 09:18:09 pm,"0 COLLEGE AVE , COLUMBIA MO, 65201",NO  NOT APPLICABLE,RESISTING ARREST BY FLEEING,RESISTING ARREST BY FLEEING,CLEARED BY ARREST
202000497,04/17/2020 09:18:09 pm,"0 COLLEGE AVE , COLUMBIA MO, 65201",NO  NOT APPLICABLE,TRAFFIC OFFENSE,RESISTING ARREST BY FLEEING,CLEARED BY ARREST
202000496,04/17/2020 01:06:00 pm,"2800 MAGUIRE BLVD , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,ACTIVE
202000495,04/17/2020 08:28:00 am,"1004 TIGER AVE , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE
202000494,04/17/2020 04:32:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,RECOVER VEH./PROP.,RECOVER VEH./PROP.,CLOSED
202000493,04/16/2020 08:54:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202000492,04/15/2020 12:57:00 pm,"115 W BUSINESS LOOP 70 , COLUMBIA MO, 65203",NO,TRESPASS,TRESPASS,CLOSED
202000491,04/14/2020 12:20:00 pm,"1133 ASHLAND RD , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,INACTIVE
202000490,04/13/2020 11:38:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,DRUG - NARCOTIC,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202000489,04/13/2020 11:22:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202000488,04/13/2020 10:10:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202000487,04/13/2020 08:25:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,STALKING,STALKING,ACTIVE
202000486,04/13/2020 09:32:00 pm,"2121 E COUNTY DR , COLUMBIA MO, 65202",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000485,04/13/2020 04:56:00 pm,"601 TURNER AVE , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,CLEARED BY ARREST
202000484,04/13/2020 05:04:00 pm,"901 VIRGINIA AVENUE , COLUMBIA MO, 65202",NO  NOT APPLICABLE,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLOSED
202000483,04/13/2020 03:06:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202000483,04/13/2020 03:06:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202000482,04/12/2020 03:31:00 pm,"407 BURNAM AVE , COLUMBIA MO, 65201",NO  NOT APPLICABLE,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,CLEARED BY ARREST
202000481,04/12/2020 07:20:00 am,"1004 TIGER AVE , COLUMBIA MO, 65201",NO,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,CLEARED BY ARREST
202000480,04/11/2020 09:41:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202000479,04/09/2020 02:40:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202000478,04/08/2020 07:47:00 pm,"500 S COLLEGE AVE , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000477,04/07/2020 10:50:00 am,"500 S COLLEGE AVE , COLUMBIA MO, 65201",NO,BURGLARY,BURGLARY,CLEARED BY ARREST
202000476,04/06/2020 11:00:02 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202000475,04/06/2020 09:00:00 am,"405 DRAWN IN ERROR , COLUMBIA MO, 65201",NO,DRAWN IN ERROR,DRAWN IN ERROR,ACTIVE
202000474,04/06/2020 05:38:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202000473,04/05/2020 06:09:00 pm,"1100 VIRGINIA AVE , COLUMBIA MO, 65201",NO,TRESPASS,TRESPASS,CLEARED BY ARREST
202000472,04/05/2020 05:12:50 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - PARAPHERNALIA / EQUIPMENT,CLEARED BY ARREST
202000471,04/05/2020 01:13:00 pm,"110 E STEWART RD , COLUMBIA MO, 65203",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202000471,04/05/2020 01:13:00 pm,"110 E STEWART RD , COLUMBIA MO, 65203",NO,PROPERTY DAMAGE,LARCENY - OTHER,ACTIVE
202000470,04/05/2020 03:55:00 am,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202000469,04/04/2020 06:31:25 pm,"602 WG10 , COLUMBIA MO, 65201",NO  NOT APPLICABLE,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202000468,04/03/2020 06:25:52 pm,"699 E STADIUM BLVD/TIGER AVE , COLUMBIA MO, 65201",NO,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202000467,04/03/2020 04:20:00 pm,"404 N KEENE ST , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202000466,03/31/2020 05:38:33 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,DRUG - NARCOTIC,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202000465,03/31/2020 04:45:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202000464,03/31/2020 10:44:30 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202000463,03/31/2020 02:57:17 am,"404 N KEENE ST , COLUMBIA MO, 65201",NO  NOT APPLICABLE,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202000462,03/30/2020 02:41:00 pm,"3549 SCOTT BLVD/W BETHANY DR , COLUMBIA MO, 65203",NO,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLOSED
202000461,03/30/2020 04:39:36 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - PARAPHERNALIA / EQUIPMENT,EXCEPTIONALLY CLEARED
202000460,03/27/2020 12:00:00 am,"2598 SCOTT BLVD/CURRENT RD , COLUMBIA MO, 65203",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000460,03/27/2020 12:00:00 am,"2598 SCOTT BLVD/CURRENT RD , COLUMBIA MO, 65203",NO,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - NARCOTIC,CLEARED BY ARREST
202000459,03/26/2020 12:00:00 am,"1012 SMILEY LN , COLUMBIA MO, 65202",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000458,03/26/2020 12:00:00 am,"500 S COLLEGE AVE , COLUMBIA MO, 65201",,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202000457,03/26/2020 12:03:00 pm,"500 S. COLLEGE , COLUMBIA MO, 65201",NO  NOT APPLICABLE,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,INACTIVE
202000456,03/25/2020 12:00:00 am,"4419 W COUNTRY HILL DR/S CRESTVIEW DR , COLUMBIA MO, 65203",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000455,03/25/2020 05:37:42 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202000454,03/25/2020 01:16:14 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,ASSIST OTHER AGENCY (MUPD),ASSIST OTHER AGENCY (MUPD),CLOSED
202000453,03/24/2020 12:43:53 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,RECOVER VEH./PROP.,RECOVER VEH./PROP.,CLOSED
202000452,03/23/2020 02:00:51 pm,"500 S COLLEGE AVE , COLUMBIA MO, 65201",NO,BURGLARY,BURGLARY,CLEARED BY ARREST
202000451,03/23/2020 05:11:00 am,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202000450,03/23/2020 04:08:12 am,"1099 S PROVIDENCE RD/E STADIUM BLVD , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202000449,03/21/2020 10:30:00 pm,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,ACTIVE
202000449,03/21/2020 10:30:00 pm,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,MOTOR VEHICLE THEFT,LARCENY - THEFT FROM MOTOR VEHICLE,ACTIVE
202000448,03/21/2020 07:28:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202000447,03/21/2020 01:44:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202000446,03/20/2020 05:06:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,EXCEPTIONALLY CLEARED
202000445,03/20/2020 03:51:00 am,"805 RICHMOND AVE , COLUMBIA MO, 65201",NO,FORGERY,FORGERY,CLEARED BY ARREST
202000445,03/20/2020 03:51:00 am,"805 RICHMOND AVE , COLUMBIA MO, 65201",NO,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202000444,03/20/2020 12:44:00 am,"600 ROLLINS ST , COLUMBIA MO, 65201",NO,OTHER OFFENSE - REPORTABLE,OTHER OFFENSE - REPORTABLE,CLEARED BY ARREST
202000443,03/19/2020 02:22:50 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,RECOVER VEH./PROP.,RECOVER VEH./PROP.,CLOSED
202000442,03/19/2020 05:01:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,RECOVER VEH./PROP.,RECOVER VEH./PROP.,ACTIVE
202000441,03/18/2020 12:22:00 am,"1000 VIRGINIA AVE , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202000440,03/17/2020 02:24:00 am,"1100 S PROVIDENCE RD , COLUMBIA MO, 65203",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000440,03/17/2020 02:24:00 am,"1100 S PROVIDENCE RD , COLUMBIA MO, 65203",NO,WARRANT ARREST,DRUG - NARCOTIC,CLEARED BY ARREST
202000439,03/17/2020 12:52:00 am,"0 MKT ENTRANCE TRL/W STADIUM BLVD , COLUMBIA MO, 65203",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000439,03/17/2020 12:52:00 am,"0 MKT ENTRANCE TRL/W STADIUM BLVD , COLUMBIA MO, 65203",NO,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - NARCOTIC,CLEARED BY ARREST
202000439,03/17/2020 12:52:00 am,"0 MKT ENTRANCE TRL/W STADIUM BLVD , COLUMBIA MO, 65203",NO,TRESPASS,DRUG - NARCOTIC,CLEARED BY ARREST
202000438,03/16/2020 01:40:00 pm,"520 S NINTH ST , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,ACTIVE
202000437,03/16/2020 09:25:00 am,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,RECOVER VEH./PROP.,RECOVER VEH./PROP.,CLOSED
202000436,03/15/2020 06:02:00 pm,"901 VIRGINIA AVE , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202000435,03/15/2020 05:06:00 am,"503 KENTUCKY BLVD , COLUMBIA MO, 65201",NO,BURGLARY,BURGLARY,CLEARED BY ARREST
202000435,03/15/2020 05:06:00 am,"503 KENTUCKY BLVD , COLUMBIA MO, 65201",NO,DRUG - PARAPHERNALIA / EQUIPMENT,BURGLARY,CLEARED BY ARREST
202000435,03/15/2020 05:06:00 am,"503 KENTUCKY BLVD , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,BURGLARY,CLEARED BY ARREST
202000434,03/15/2020 02:23:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,OTHER OFFENSE - REPORTABLE,OTHER OFFENSE - REPORTABLE,CLEARED BY ARREST
202000433,03/15/2020 02:32:00 am,"399 E STADIUM BLVD/S PROVIDENCE RD , COLUMBIA MO, 65203",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000433,03/15/2020 02:32:00 am,"399 E STADIUM BLVD/S PROVIDENCE RD , COLUMBIA MO, 65203",NO,DWI,DRUG - NARCOTIC,CLEARED BY ARREST
202000432,03/15/2020 12:46:00 am,"0 KENTUCKY BLVD/TIGER AVE , COLUMBIA MO, 65201",NO  NOT APPLICABLE,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000431,03/15/2020 12:14:00 am,"1299 ROLLINS ST/S COLLEGE AVE , COLUMBIA MO, 65201",NO,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202000430,03/14/2020 11:59:00 pm,"799 LOCUST ST/S EIGHTH ST , COLUMBIA MO, 65201",NO,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202000429,03/14/2020 05:00:00 pm,"999 RICHMOND AVE/KENTUCKY BLVD , COLUMBIA MO, 65201",NO,HARASSMENT,PROPERTY DAMAGE,CLEARED BY ARREST
202000429,03/14/2020 05:00:00 pm,"999 RICHMOND AVE/KENTUCKY BLVD , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,CLEARED BY ARREST
202000428,03/14/2020 02:13:00 am,"1416 OLD 63 S , COLUMBIA   , 65201",NO,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202000427,03/13/2020 09:12:00 pm,"902 VIRGINIA AVE , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202000426,03/13/2020 05:30:35 pm,"309 HITT ST , COLUMBIA MO, 65201",NO,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,INACTIVE
202000425,03/13/2020 01:48:00 am,"909 RICHMOND AVE , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,PROPERTY DAMAGE,UNFOUNDED
202000424,03/13/2020 12:53:00 am,"699 ROLLINS ST/TIGER AVE , COLUMBIA MO, 65201",NO  NOT APPLICABLE,DRUG - NARCOTIC,FORGERY,CLEARED BY ARREST
202000424,03/13/2020 12:53:00 am,"699 ROLLINS ST/TIGER AVE , COLUMBIA MO, 65201",NO  NOT APPLICABLE,FORGERY,FORGERY,CLEARED BY ARREST
202000423,03/12/2020 10:40:17 pm,"0 6TH/COLLEGE ,  MO, 65201",NO,FORGERY,FORGERY,CLEARED BY ARREST
202000422,03/12/2020 03:49:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202000422,03/12/2020 03:49:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO  NOT APPLICABLE,PROPERTY DAMAGE,ASSAULT-SIMPLE,ACTIVE
202000421,03/12/2020 01:11:00 pm,"0 TURNER AVENUE GARAGE , COLUMBIA   , 65201",NO,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,INACTIVE
202000420,03/12/2020 11:07:00 am,"999 S COLLEGE AVE/ASHLAND RD , COLUMBIA MO, 65201",NO,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202000419,03/12/2020 12:00:00 am,"0 MISSOURI AVE/ROLLINS ST , COLUMBIA MO, 65201",,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202000418,03/12/2020 08:54:00 am,"3 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000417,03/12/2020 08:14:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202000416,03/12/2020 01:00:00 am,"1099 S PROVIDENCE RD/E STADIUM BLVD , COLUMBIA MO, 65201",NO,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202000415,03/12/2020 12:32:00 am,"1099 LOCUST ST/HITT ST , COLUMBIA MO, 65201",NO,FORGERY,FORGERY,CLEARED BY ARREST
